"","CRITERIA","PAIN_CAT","ICD_VERSION","ICD9_OR_10","ICD_DESC"
"73","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00239","Other streptococcal arthritis, unspecified wrist"
"74","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00241","Other streptococcal arthritis, right hand"
"75","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00242","Other streptococcal arthritis, left hand"
"76","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00249","Other streptococcal arthritis, unspecified hand"
"77","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00251","Other streptococcal arthritis, right hip"
"78","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00252","Other streptococcal arthritis, left hip"
"79","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00259","Other streptococcal arthritis, unspecified hip"
"80","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00261","Other streptococcal arthritis, right knee"
"81","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00262","Other streptococcal arthritis, left knee"
"82","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00269","Other streptococcal arthritis, unspecified knee"
"83","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00271","Other streptococcal arthritis, right ankle and foot"
"84","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00272","Other streptococcal arthritis, left ankle and foot"
"85","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00279","Other streptococcal arthritis, unspecified ankle and foot"
"86","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0028","Other streptococcal arthritis, vertebrae"
"87","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0029","Other streptococcal polyarthritis"
"88","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0080","Arthritis due to other bacteria, unspecified joint"
"89","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00811","Arthritis due to other bacteria, right shoulder"
"90","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00812","Arthritis due to other bacteria, left shoulder"
"91","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00819","Arthritis due to other bacteria, unspecified shoulder"
"92","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00821","Arthritis due to other bacteria, right elbow"
"93","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00822","Arthritis due to other bacteria, left elbow"
"94","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00829","Arthritis due to other bacteria, unspecified elbow"
"95","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00831","Arthritis due to other bacteria, right wrist"
"96","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00832","Arthritis due to other bacteria, left wrist"
"97","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00839","Arthritis due to other bacteria, unspecified wrist"
"98","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00841","Arthritis due to other bacteria, right hand"
"99","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00842","Arthritis due to other bacteria, left hand"
"100","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00849","Arthritis due to other bacteria, unspecified hand"
"101","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00851","Arthritis due to other bacteria, right hip"
"102","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00852","Arthritis due to other bacteria, left hip"
"103","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00859","Arthritis due to other bacteria, unspecified hip"
"104","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00861","Arthritis due to other bacteria, right knee"
"105","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00862","Arthritis due to other bacteria, left knee"
"106","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00869","Arthritis due to other bacteria, unspecified knee"
"107","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00871","Arthritis due to other bacteria, right ankle and foot"
"108","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00872","Arthritis due to other bacteria, left ankle and foot"
"109","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M00879","Arthritis due to other bacteria, unspecified ankle and foot"
"110","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0088","Arthritis due to other bacteria, vertebrae"
"111","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0089","Polyarthritis due to other bacteria"
"112","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M009","Pyogenic arthritis, unspecified"
"113","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X0","Direct infection of unspecified joint in infectious and parasitic diseases classified elsewhere"
"114","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X11","Direct infection of right shoulder in infectious and parasitic diseases classified elsewhere"
"115","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X12","Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere"
"116","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X19","Direct infection of unspecified shoulder in infectious and parasitic diseases classified elsewhere"
"117","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X21","Direct infection of right elbow in infectious and parasitic diseases classified elsewhere"
"118","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X22","Direct infection of left elbow in infectious and parasitic diseases classified elsewhere"
"119","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X29","Direct infection of unspecified elbow in infectious and parasitic diseases classified elsewhere"
"120","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X31","Direct infection of right wrist in infectious and parasitic diseases classified elsewhere"
"121","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X32","Direct infection of left wrist in infectious and parasitic diseases classified elsewhere"
"122","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X39","Direct infection of unspecified wrist in infectious and parasitic diseases classified elsewhere"
"123","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X41","Direct infection of right hand in infectious and parasitic diseases classified elsewhere"
"124","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X42","Direct infection of left hand in infectious and parasitic diseases classified elsewhere"
"125","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X49","Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere"
"126","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X51","Direct infection of right hip in infectious and parasitic diseases classified elsewhere"
"127","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X52","Direct infection of left hip in infectious and parasitic diseases classified elsewhere"
"128","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X59","Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere"
"129","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X61","Direct infection of right knee in infectious and parasitic diseases classified elsewhere"
"130","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X62","Direct infection of left knee in infectious and parasitic diseases classified elsewhere"
"131","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X69","Direct infection of unspecified knee in infectious and parasitic diseases classified elsewhere"
"132","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X71","Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere"
"133","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X72","Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere"
"134","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X79","Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere"
"135","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X8","Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere"
"136","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M01X9","Direct infection of multiple joints in infectious and parasitic diseases classified elsewhere"
"137","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0200","Arthropathy following intestinal bypass, unspecified site"
"138","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02011","Arthropathy following intestinal bypass, right shoulder"
"139","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02012","Arthropathy following intestinal bypass, left shoulder"
"140","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02019","Arthropathy following intestinal bypass, unspecified shoulder"
"141","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02021","Arthropathy following intestinal bypass, right elbow"
"142","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02022","Arthropathy following intestinal bypass, left elbow"
"143","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02029","Arthropathy following intestinal bypass, unspecified elbow"
"144","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02031","Arthropathy following intestinal bypass, right wrist"
"145","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02032","Arthropathy following intestinal bypass, left wrist"
"146","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02039","Arthropathy following intestinal bypass, unspecified wrist"
"147","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02041","Arthropathy following intestinal bypass, right hand"
"148","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02042","Arthropathy following intestinal bypass, left hand"
"149","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02049","Arthropathy following intestinal bypass, unspecified hand"
"150","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02051","Arthropathy following intestinal bypass, right hip"
"151","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02052","Arthropathy following intestinal bypass, left hip"
"152","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02059","Arthropathy following intestinal bypass, unspecified hip"
"153","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02061","Arthropathy following intestinal bypass, right knee"
"154","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02062","Arthropathy following intestinal bypass, left knee"
"155","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02069","Arthropathy following intestinal bypass, unspecified knee"
"156","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02071","Arthropathy following intestinal bypass, right ankle and foot"
"157","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02072","Arthropathy following intestinal bypass, left ankle and foot"
"158","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02079","Arthropathy following intestinal bypass, unspecified ankle and foot"
"159","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0208","Arthropathy following intestinal bypass, vertebrae"
"160","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0209","Arthropathy following intestinal bypass, multiple sites"
"161","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0210","Postdysenteric arthropathy, unspecified site"
"162","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02111","Postdysenteric arthropathy, right shoulder"
"163","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02112","Postdysenteric arthropathy, left shoulder"
"164","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02119","Postdysenteric arthropathy, unspecified shoulder"
"165","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02121","Postdysenteric arthropathy, right elbow"
"166","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02122","Postdysenteric arthropathy, left elbow"
"167","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02129","Postdysenteric arthropathy, unspecified elbow"
"168","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02131","Postdysenteric arthropathy, right wrist"
"169","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02132","Postdysenteric arthropathy, left wrist"
"170","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02139","Postdysenteric arthropathy, unspecified wrist"
"171","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02141","Postdysenteric arthropathy, right hand"
"172","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02142","Postdysenteric arthropathy, left hand"
"173","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02149","Postdysenteric arthropathy, unspecified hand"
"174","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02151","Postdysenteric arthropathy, right hip"
"175","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02152","Postdysenteric arthropathy, left hip"
"176","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02159","Postdysenteric arthropathy, unspecified hip"
"177","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02161","Postdysenteric arthropathy, right knee"
"178","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02162","Postdysenteric arthropathy, left knee"
"179","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02169","Postdysenteric arthropathy, unspecified knee"
"180","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02171","Postdysenteric arthropathy, right ankle and foot"
"181","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02172","Postdysenteric arthropathy, left ankle and foot"
"182","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02179","Postdysenteric arthropathy, unspecified ankle and foot"
"183","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0218","Postdysenteric arthropathy, vertebrae"
"184","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0219","Postdysenteric arthropathy, multiple sites"
"185","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0220","Postimmunization arthropathy, unspecified site"
"186","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02211","Postimmunization arthropathy, right shoulder"
"187","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02212","Postimmunization arthropathy, left shoulder"
"188","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02219","Postimmunization arthropathy, unspecified shoulder"
"189","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02221","Postimmunization arthropathy, right elbow"
"190","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02222","Postimmunization arthropathy, left elbow"
"191","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02229","Postimmunization arthropathy, unspecified elbow"
"192","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02231","Postimmunization arthropathy, right wrist"
"193","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02232","Postimmunization arthropathy, left wrist"
"194","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02239","Postimmunization arthropathy, unspecified wrist"
"195","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02241","Postimmunization arthropathy, right hand"
"196","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02242","Postimmunization arthropathy, left hand"
"197","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02249","Postimmunization arthropathy, unspecified hand"
"198","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02251","Postimmunization arthropathy, right hip"
"199","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02252","Postimmunization arthropathy, left hip"
"200","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02259","Postimmunization arthropathy, unspecified hip"
"201","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02261","Postimmunization arthropathy, right knee"
"202","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02262","Postimmunization arthropathy, left knee"
"203","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02269","Postimmunization arthropathy, unspecified knee"
"204","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02271","Postimmunization arthropathy, right ankle and foot"
"205","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02272","Postimmunization arthropathy, left ankle and foot"
"206","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02279","Postimmunization arthropathy, unspecified ankle and foot"
"207","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0228","Postimmunization arthropathy, vertebrae"
"208","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0229","Postimmunization arthropathy, multiple sites"
"209","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M0230","Reiter's disease, unspecified site"
"210","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02311","Reiter's disease, right shoulder"
"211","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02312","Reiter's disease, left shoulder"
"212","Inclusion","Arthritis/Joint/Bone Pain (Other than Back/Neck)",10,"M02319","Reiter's disease, unspecified shoulder"
